Started at: Tue Nov 16 18:00:22 2021

Using random seed: 1637082022
Map: res/textures/map_corridor_256x144.png
FOLLOW_GREEN_FEROMONE: true
FOLLOW_RED_FEROMONE: true
AVOID_WALLS: false
time,total_gathered_food,gathered_food_since_last_entry,number_of_ants_carrying_food
45.5984,0,0,16
47.998,0,0,22
50.3975,0,0,23
52.7971,0,0,23
55.1967,0,0,23
57.5963,0,0,23
59.9959,0,0,23
62.3955,0,0,23
64.7954,0,0,23
67.1959,0,0,23
69.5965,0,0,23
71.997,0,0,23
74.3975,0,0,23
76.798,0,0,23
79.1985,0,0,23
81.599,0,0,23
83.9995,0,0,23
86.4,0,0,23
88.8006,0,0,23
91.2011,0,0,27
93.6016,0,0,27
96.0021,0,0,27
98.4026,0,0,34
100.803,0,0,40
103.204,0,0,63
105.604,1,1,134
108.005,1,0,195
110.405,1,0,298
112.806,2,1,378
115.206,3,1,488
117.607,3,0,808
120.007,3,0,914
122.408,3,0,1075
124.808,3,0,1236
127.209,3,0,1383
129.608,8,5,1524
132.007,38,30,1597
134.405,65,27,1723
136.804,106,41,1954
139.203,174,68,2114
141.601,215,41,2146
144,278,63,2083
146.399,328,50,2033
148.798,391,63,1970
151.196,479,88,1882
153.595,566,87,1795
155.994,642,76,1719
158.392,704,62,1657
160.791,784,80,1577
163.19,863,79,1498
165.588,917,54,1444
167.987,973,56,1388
170.386,1014,41,1347
172.784,1045,31,1316
175.183,1085,40,1276
177.582,1126,41,1235
179.98,1158,32,1203
182.379,1193,35,1168
184.778,1228,35,1133
187.176,1262,34,1099
189.575,1289,27,1072
191.974,1320,31,1041
194.372,1359,39,1002
196.771,1385,26,976
199.17,1413,28,948
201.568,1458,45,903
203.967,1488,30,873
206.366,1578,90,783
208.765,1619,41,742
211.163,1642,23,719
213.562,1688,46,673
215.961,1725,37,636
218.359,1758,33,603
220.758,1777,19,584
223.157,1798,21,563
225.555,1814,16,547
227.954,1830,16,531
230.353,1831,1,530
232.751,1838,7,523
235.15,1848,10,513
237.549,1865,17,496
239.947,1873,8,488
242.346,1885,12,476
244.745,1896,11,465
247.143,1896,0,465
249.542,1899,3,462
251.941,1911,12,450
254.339,1914,3,447
256.739,1917,3,444
259.142,1920,3,441
261.544,1928,8,433
263.946,1932,4,429
266.349,1936,4,425
268.751,1938,2,423
271.153,1947,9,414
273.556,1960,13,401
275.958,1965,5,396
278.36,1972,7,389
280.763,1981,9,380
283.165,1990,9,371
285.567,1998,8,363
287.97,2008,10,353
290.372,2012,4,349
292.774,2020,8,341
295.177,2025,5,336
297.579,2034,9,327
299.981,2042,8,319
302.384,2049,7,312
304.786,2056,7,305
307.189,2059,3,302
309.591,2061,2,300
311.993,2061,0,300
314.396,2063,2,298
316.798,2064,1,297
319.2,2068,4,293
321.603,2072,4,289
324.005,2073,1,288
326.407,2084,11,277
328.81,2087,3,274
331.212,2092,5,269
333.614,2093,1,268
336.017,2096,3,265
338.419,2101,5,260
340.821,2104,3,257
343.224,2109,5,252
345.626,2112,3,249
348.028,2117,5,244
350.431,2122,5,239
352.833,2122,0,239
355.235,2130,8,231
357.638,2142,12,219
360.04,2145,3,216
362.442,2149,4,212
364.845,2152,3,209
367.247,2158,6,203
369.649,2162,4,199
372.052,2164,2,197
374.454,2168,4,193
376.856,2183,15,178
379.259,2188,5,173
381.661,2198,10,163
384.064,2198,0,163
386.466,2202,4,159
388.868,2204,2,157
391.271,2211,7,150
393.673,2215,4,146
396.075,2221,6,140
398.478,2230,9,131
